location,year,ageAtMarriageWomen
Afghanistan,1972,18.1
Afghanistan,2010,21.5
Afghanistan,2015,21.5
Albania,2000,23.9
Albania,2002,22.9
Albania,2005,24.6
Albania,2008,24.6
Albania,2017,24.200001
Algeria,1992,25.9
Algeria,2002,29.5
Algeria,2006,29.700001
Algeria,2012,28.200001
American Samoa,1974,23.299999
American Samoa,1990,25.700001
Angola,2001,20.299999
Angola,2015,21.5
Anguilla,2001,28.6
Antigua and Barbuda,1991,33.200001
Antigua and Barbuda,2001,25.700001
Argentina,1970,23.1
Argentina,1991,23.299999
Argentina,2001,24.6
Argentina,2010,24.6
Armenia,2000,22.200001
Armenia,2005,23
Armenia,2010,24.5
Armenia,2015,24.200001
Aruba,1981,25.5
Aruba,1991,26.200001
Aruba,2000,26.799999
Aruba,2010,28.5
Australia,1990,24.299999
Australia,1991,24.5
Australia,1992,24.700001
Australia,1993,24.799999
Australia,1994,25.1
Australia,1995,25.299999
Australia,1996,25.700001
Australia,1997,25.9
Australia,1998,26.200001
Australia,1999,26.4
Australia,2000,26.700001
Australia,2001,26.9
Australia,2002,27.1
Australia,2003,27.299999
Australia,2004,27.5
Australia,2005,27.6
Australia,2006,27.6
Australia,2007,27.6
Australia,2008,27.700001
Australia,2009,27.700001
Australia,2010,27.9
Australia,2011,28
Australia,2012,28.1
Australia,2013,28.299999
Australia,2014,28.4
Australia,2015,28.5
Australia,2016,28.700001
Australia,2017,28.799999
Austria,1990,25.200001
Austria,1991,25.4
Austria,1992,25.6
Austria,1993,25.799999
Austria,1994,26.1
Austria,1995,26.299999
Austria,1996,26.5
Austria,1997,26.799999
Austria,1998,26.9
Austria,1999,27.299999
Austria,2000,27.4
Austria,2001,27.5
Austria,2002,27.700001
Austria,2003,27.9
Austria,2004,28.200001
Austria,2005,28.6
Austria,2006,29.1
Austria,2007,29.299999
Austria,2008,29.5
Austria,2009,29.9
Austria,2011,30.299999
Austria,2012,30.6
Austria,2017,31.5
Azerbaijan,2012,24.299999
Azerbaijan,2013,24.299999
Azerbaijan,2014,24.299999
Azerbaijan,2015,24.299999
Azerbaijan,2016,24.200001
Azerbaijan,2017,24.200001
Bahamas,1970,22.4
Bahamas,1980,24.799999
Bahamas,1990,27.200001
Bahamas,2000,27.4
Bahamas,2010,27.9
Bahrain,1991,25.6
Bahrain,2001,26.299999
Bahrain,2010,26.9
Bangladesh,1975,16.700001
Bangladesh,1993,18.299999
Bangladesh,1996,18.6
Bangladesh,1999,18.799999
Bangladesh,2004,18.700001
Bangladesh,2006,18.700001
Bangladesh,2007,18.4
Bangladesh,2011,18.6
Bangladesh,2012,19.200001
Bangladesh,2014,18.799999
Barbados,1970,28.5
Barbados,1980,30.4
Barbados,1990,31.799999
Barbados,2010,31.9
Belarus,1979,21.299999
Belarus,1989,21.9
Belarus,1999,22.799999
Belarus,2009,24.6
Belgium,1990,24.4
Belgium,1991,24
Belgium,1992,24.799999
Belgium,1993,25.1
Belgium,1994,25.4
Belgium,1995,25.6
Belgium,1996,25.700001
Belgium,1997,25.9
Belgium,1998,26
Belgium,1999,26.299999
Belgium,2000,26.9
Belgium,2001,26.700001
Belgium,2002,27
Belgium,2003,27.5
Belgium,2004,27.9
Belgium,2005,28.1
Belgium,2006,28.4
Belgium,2007,28.6
Belgium,2008,28.9
Belgium,2009,29.299999
Belgium,2010,29.4
Belgium,2017,31.200001
Belize,1970,22.6
Belize,1980,23.9
Belize,1991,26.200001
Belize,2000,21
Belize,2010,28.6
Benin,1996,19.9
Benin,2001,20.299999
Benin,2006,20.5
Benin,2011,21.299999
Benin,2014,21.200001
Benin,2017,20.700001
Bermuda,1980,25.6
Bermuda,1991,28.9
Bermuda,2000,29.799999
Bermuda,2010,30.6
Bermuda,2016,31.9
Bhutan,2005,21.799999
Bhutan,2017,23.799999
Bolivia,1988,22.200001
Bolivia,1989,22.200001
Bolivia,1993,22
Bolivia,1998,22.799999
Bolivia,2000,22.4
Bolivia,2003,22.6
Bolivia,2008,22.700001
Bolivia,2016,24
Bosnia and Herzegovina,2000,23.6
Bosnia and Herzegovina,2006,24.5
Bosnia and Herzegovina,2011,25.700001
Botswana,1971,24.9
Botswana,1981,26.4
Botswana,1991,26.9
Botswana,2001,26.4
Botswana,2011,24.799999
Brazil,1970,23
Brazil,1980,22.700001
Brazil,1991,22.5
Brazil,2000,23.1
Brazil,2010,23.9
British Virgin Islands,1970,24.299999
British Virgin Islands,1980,26.4
British Virgin Islands,1991,28.4
Brunei,1971,22.4
Brunei,1981,23.6
Brunei,1991,25.1
Brunei,2011,26.1
Bulgaria,1990,21.5
Bulgaria,1991,21.5
Bulgaria,1992,21.700001
Bulgaria,1993,22
Bulgaria,1994,22.4
Bulgaria,1995,22.700001
Bulgaria,1996,23
Bulgaria,1997,23.299999
Bulgaria,1998,23.4
Bulgaria,1999,23.700001
Bulgaria,2000,24.700001
Bulgaria,2001,24.700001
Bulgaria,2002,24.6
Bulgaria,2003,25
Bulgaria,2004,25.299999
Bulgaria,2005,25.6
Bulgaria,2006,25.700001
Bulgaria,2007,25.799999
Bulgaria,2008,25.9
Bulgaria,2009,26.200001
Bulgaria,2010,26.6
Bulgaria,2011,26.6
Bulgaria,2013,26.700001
Bulgaria,2014,26.9
Bulgaria,2015,27
Bulgaria,2016,27.1
Bulgaria,2017,27.299999
Burkina Faso,1984,18.5
Burkina Faso,1991,19
Burkina Faso,1992,18.200001
Burkina Faso,1998,18.9
Burkina Faso,2003,19.4
Burkina Faso,2006,20.299999
Burkina Faso,2010,19.5
Burkina Faso,2017,20
Burundi,1970,21.700001
Burundi,1987,21.799999
Burundi,2000,23.4
Burundi,2002,23.700001
Burundi,2005,21.6
Burundi,2010,22.1
Burundi,2016,22.799999
Cambodia,1998,22.1
Cambodia,2000,22.299999
Cambodia,2004,22.799999
Cambodia,2005,22.6
Cambodia,2010,22
Cambodia,2014,21.6
Cameroon,1991,19.1
Cameroon,1998,20.200001
Cameroon,2000,22.700001
Cameroon,2004,20.1
Cameroon,2006,22.1
Cameroon,2011,21.299999
Cameroon,2014,22.200001
Canada,1990,25.5
Canada,1991,25.799999
Canada,1992,26
Canada,1993,26.200001
Canada,1994,26.299999
Canada,1995,26.5
Canada,1996,26.700001
Canada,1997,26.9
Canada,1998,27
Canada,1999,27.200001
Canada,2000,27.5
Canada,2001,27.700001
Canada,2002,27.799999
Canada,2003,28.200001
Canada,2004,28.5
Canada,2005,28.700001
Canada,2006,28.9
Canada,2007,29
Canada,2008,29.1
Cape Verde,1970,22
Cape Verde,1980,23.6
Cape Verde,1990,25.700001
Cape Verde,2000,24.6
Cayman Islands,1970,19.700001
Cayman Islands,1979,25.5
Cayman Islands,1989,25.200001
Cayman Islands,2010,28
Central African Republic,1994,19.4
Central African Republic,2000,17.9
Central African Republic,2006,17
Central African Republic,2010,17.299999
Chad,1996,18.1
Chad,2000,18.299999
Chad,2004,18.4
Chad,2010,18.200001
Chad,2014,18.799999
Channel Islands,1981,24.6
Channel Islands,1986,26.799999
Channel Islands,1991,28.200001
Channel Islands,2001,29.700001
Chile,1997,24.9
Chile,1998,25.200001
Chile,1999,25.5
Chile,2000,25.6
Chile,2001,25.9
Chile,2002,26.299999
Chile,2003,26.6
Chile,2004,26.799999
Chile,2005,27.299999
Chile,2006,27.4
Chile,2007,27.700001
Chile,2008,28.1
Chile,2009,29
Chile,2010,29.9
Chile,2011,30.200001
Chile,2012,30
Chile,2013,28.5
Chile,2014,29.700001
Chile,2015,30.9
Chile,2016,31.5
China,1995,22.6
China,2005,23.5
China,2013,24.4
China,2015,24.799999
China,2016,25.4
Colombia,1986,23.5
Colombia,1990,23.1
Colombia,1995,22.200001
Colombia,2000,23.1
Colombia,2004,23
Colombia,2009,22.299999
Colombia,2015,22.700001
Comoros,1996,23.6
Comoros,2000,20.799999
Comoros,2012,22.6
Congo,2005,21.9
Congo,2009,21.1
Congo,2011,21.299999
Congo,2014,21.9
Cook Islands,1971,23.1
Cook Islands,1976,24.4
Cook Islands,1981,25.6
Cook Islands,1986,27.700001
Cook Islands,1996,29.6
Cook Islands,2006,28
Costa Rica,2003,23.4
Costa Rica,2006,23.6
Costa Rica,2007,24.1
Costa Rica,2009,24.4
Costa Rica,2010,24.200001
Costa Rica,2013,26.6
Costa Rica,2014,25.700001
Costa Rica,2015,24.9
Costa Rica,2016,25.299999
Costa Rica,2017,25.9
Cote d'Ivoire,1994,20.9
Cote d'Ivoire,1998,21.9
Cote d'Ivoire,2000,22.799999
Cote d'Ivoire,2005,21.700001
Cote d'Ivoire,2006,19.700001
Cote d'Ivoire,2011,22.299999
Cote d'Ivoire,2016,23
Croatia,2001,25.4
Croatia,2002,25.6
Croatia,2003,25.799999
Croatia,2004,26
Croatia,2005,26.200001
Croatia,2006,26.299999
Croatia,2007,26.6
Croatia,2008,26.6
Croatia,2009,26.9
Croatia,2010,27.1
Croatia,2011,27.299999
Croatia,2012,27.299999
Croatia,2013,27.6
Croatia,2014,27.799999
Croatia,2015,27.9
Croatia,2016,28
Croatia,2017,28.200001
Cuba,1970,19.5
Cuba,1981,19.799999
Cuba,2002,21.1
Cuba,2012,21.299999
Cyprus,1990,24.9
Cyprus,1991,24.6
Cyprus,1992,25.4
Cyprus,1993,25.200001
Cyprus,1994,25.799999
Cyprus,1995,25.700001
Cyprus,1996,26
Cyprus,1997,26.200001
Cyprus,1998,26.4
Cyprus,1999,26.4
Cyprus,2000,26.9
Cyprus,2001,27.200001
Cyprus,2002,27.299999
Cyprus,2003,27.799999
Cyprus,2004,27.299999
Cyprus,2005,27.299999
Cyprus,2006,27.700001
Czechia,1990,21.6
Czechia,1991,21.6
Czechia,1992,21.9
Czechia,1993,22.1
Czechia,1994,22.4
Czechia,1995,22.799999
Czechia,1996,23.1
Czechia,1997,23.6
Czechia,1998,23.799999
Czechia,1999,24.200001
Czechia,2000,24.6
Czechia,2001,25
Czechia,2002,25.4
Czechia,2003,25.799999
Czechia,2004,26.1
Czechia,2005,26.4
Czechia,2006,26.799999
Czechia,2007,27
Czechia,2008,27.200001
Czechia,2009,27.6
Czechia,2010,27.9
Czechia,2011,28.1
Czechia,2012,28.299999
Czechia,2013,28.5
Czechia,2014,28.700001
Czechia,2015,28.799999
Czechia,2016,29
Czechia,2017,29.1
Democratic Republic of Congo,1991,19.700001
Democratic Republic of Congo,2001,21
Democratic Republic of Congo,2007,20.799999
Democratic Republic of Congo,2010,20.200001
Democratic Republic of Congo,2013,20.9
Denmark,1990,27.799999
Denmark,1991,28
Denmark,1992,28.299999
Denmark,1993,28.799999
Denmark,1994,29.200001
Denmark,1995,29.200001
Denmark,1996,29.9
Denmark,1997,30.1
Denmark,1998,29.799999
Denmark,1999,30
Denmark,2000,29.9
Denmark,2001,29.9
Denmark,2002,30.1
Denmark,2003,30.6
Denmark,2004,30.9
Denmark,2005,30.9
Denmark,2006,30.9
Denmark,2007,31.299999
Denmark,2008,31.4
Denmark,2009,31.1
Denmark,2010,31.200001
Denmark,2011,31.4
Denmark,2012,31.799999
Denmark,2013,31.9
Denmark,2014,31.9
Denmark,2015,31.9
Denmark,2016,32.200001
Denmark,2017,32.400002
Djibouti,1991,26.799999
Djibouti,2002,27.700001
Djibouti,2006,26.9
Djibouti,2012,29.9
Dominica,1970,29.6
Dominica,1981,30.799999
Dominica,1991,31.6
Dominica,2001,32.5
Dominican Republic,1986,21.5
Dominican Republic,1991,21.799999
Dominican Republic,1996,21.299999
Dominican Republic,1999,21.6
Dominican Republic,2000,21.4
Dominican Republic,2002,21
Dominican Republic,2007,21
Dominican Republic,2013,21
Dominican Republic,2014,21.5
Ecuador,1982,22
Ecuador,1987,22.200001
Ecuador,1989,22.299999
Ecuador,1994,22.799999
Ecuador,1999,22.299999
Ecuador,2004,22.200001
Egypt,1980,21.4
Egypt,1988,22.1
Egypt,1992,22.4
Egypt,1995,22.299999
Egypt,2000,22.700001
Egypt,2003,22.700001
Egypt,2005,23
Egypt,2008,22.700001
Egypt,2014,22
El Salvador,1985,20
El Salvador,1998,21.5
El Salvador,2002,22
El Salvador,2008,21.9
El Salvador,2014,22.6
Equatorial Guinea,2000,21.299999
Equatorial Guinea,2011,20.5
Eritrea,1995,19.5
Eritrea,2002,20.6
Estonia,1992,23
Estonia,1993,23.6
Estonia,1994,24.1
Estonia,1995,24.200001
Estonia,1996,24.200001
Estonia,1997,24.4
Estonia,1998,24.799999
Estonia,1999,25
Estonia,2000,25.200001
Estonia,2001,25.5
Estonia,2002,25.799999
Estonia,2003,25.9
Estonia,2004,26.200001
Estonia,2005,26.4
Estonia,2006,26.6
Estonia,2007,27.1
Estonia,2008,27.4
Estonia,2009,27.799999
Estonia,2010,28
Estonia,2011,28.4
Estonia,2012,28.9
Estonia,2013,28.799999
Estonia,2014,29
Estonia,2015,29.299999
Estonia,2016,29.700001
Eswatini,2000,23.799999
Eswatini,2006,26
Eswatini,2010,26.200001
Eswatini,2014,26.5
Ethiopia,1981,17.6
Ethiopia,1990,19.4
Ethiopia,2000,20.6
Ethiopia,2005,20.9
Ethiopia,2010,21.200001
Ethiopia,2016,21.299999
Faeroe Islands,1991,28.200001
Faeroe Islands,1992,28.299999
Faeroe Islands,2008,30.700001
Faeroe Islands,2013,31
Faeroe Islands,2014,31.700001
Faeroe Islands,2015,30.9
Faeroe Islands,2016,30.799999
Faeroe Islands,2017,30.9
Falkland Islands,2016,29
Fiji,1976,21.700001
Fiji,1986,22.5
Fiji,2007,24.1
Finland,1990,26.299999
Finland,1991,26.299999
Finland,1992,26.6
Finland,1993,26.799999
Finland,1994,26.9
Finland,1995,27.200001
Finland,1997,27.6
Finland,1998,27.799999
Finland,1999,28
Finland,2000,28.299999
Finland,2001,28.4
Finland,2002,28.799999
Finland,2003,29
Finland,2004,29.5
Finland,2005,29.4
Finland,2006,29.5
Finland,2007,29.700001
Finland,2008,30
Finland,2009,30
Finland,2010,30.200001
Finland,2011,30.4
Finland,2012,30.700001
Finland,2013,30.4
Finland,2014,30.6
Finland,2015,31
Finland,2016,31.299999
Finland,2017,31.6
France,1998,28.1
France,1999,28.200001
France,2000,28.4
France,2001,28.5
France,2002,28.700001
France,2003,28.9
France,2004,29.200001
France,2005,29.6
France,2006,29.799999
France,2007,30
France,2008,30.200001
France,2009,30.4
France,2010,30.700001
France,2011,30.799999
France,2013,31.700001
France,2014,32.099998
France,2015,32.200001
French Guiana,1982,27.5
French Guiana,1999,31.700001
French Guiana,2006,32
French Polynesia,1977,25.799999
French Polynesia,1996,29.9
French Polynesia,2007,33.099998
French Polynesia,2012,33.799999
Gabon,2000,22.1
Gabon,2012,22.9
Gambia,2000,20.4
Gambia,2005,21.1
Gambia,2013,21.5
Georgia,1979,22.5
Georgia,1989,22.4
Georgia,2002,23.700001
Georgia,2014,22.799999
Germany,1990,25.5
Germany,1991,25.9
Germany,1992,26.1
Germany,1993,26.4
Germany,1994,26.6
Germany,1995,26.700001
Germany,1996,26.9
Germany,1997,27
Germany,1998,27.200001
Germany,1999,27.5
Germany,2000,27.700001
Germany,2001,28
Germany,2003,28.4
Germany,2004,28.799999
Germany,2005,29.1
Germany,2006,29.1
Germany,2007,29.299999
Germany,2008,29.6
Germany,2009,29.799999
Germany,2011,30.200001
Germany,2013,30.5
Germany,2014,30.700001
Germany,2015,30.9
Germany,2016,31.1
Germany,2017,31.200001
Ghana,1988,20.200001
Ghana,1993,20.5
Ghana,1998,21
Ghana,2003,22.4
Ghana,2006,22.799999
Ghana,2008,23.4
Ghana,2011,23.799999
Ghana,2014,24.5
Ghana,2017,23.700001
Gibraltar,1970,21.5
Gibraltar,1981,21.1
Gibraltar,1991,23.200001
Gibraltar,2001,26.799999
Gibraltar,2012,29.1
Greece,1990,24.9
Greece,1991,25.200001
Greece,1992,25.5
Greece,1993,25.5
Greece,1994,25.799999
Greece,1995,26
Greece,1996,26.299999
Greece,1997,26.6
Greece,1998,26.799999
Greece,1999,26.9
Greece,2000,27.200001
Greece,2001,27.299999
Greece,2002,27.6
Greece,2003,27.9
Greece,2004,28
Greece,2005,28.299999
Greece,2006,28.6
Greece,2007,28.799999
Greece,2008,28.9
Greece,2009,29
Greece,2010,29.299999
Greece,2011,29.4
Greece,2012,29.5
Greece,2013,29.700001
Greece,2014,29.9
Greece,2015,30.1
Greece,2016,30.1
Greece,2017,30.299999
Greenland,1974,25.4
Greenland,1975,25.799999
Greenland,1976,26.5
Greenland,1977,27
Greenland,1978,27.5
Greenland,1979,27.6
Greenland,1980,27.9
Greenland,1981,28.200001
Greenland,1982,28.5
Greenland,1983,29
Greenland,1984,29.4
Greenland,1985,29.6
Greenland,1986,29.9
Greenland,1987,30.299999
Greenland,1988,30.700001
Greenland,1990,31
Greenland,1991,31.1
Greenland,1992,31.200001
Greenland,1997,31.5
Greenland,1998,31.299999
Greenland,1999,31.299999
Greenland,2009,30.9
Greenland,2010,31.200001
Greenland,2011,31.5
Greenland,2012,31.6
Greenland,2013,31.700001
Greenland,2014,32
Greenland,2015,32.299999
Greenland,2016,32.400002
Grenada,1970,28.200001
Grenada,1981,29.4
Grenada,1991,31
Guadeloupe,1982,26.6
Guadeloupe,1999,31.6
Guatemala,1987,20.6
Guatemala,1995,20.5
Guatemala,1998,20.4
Guatemala,2002,21.6
Guatemala,2008,22
Guatemala,2014,22.200001
Guinea,1992,18.9
Guinea,1999,18.700001
Guinea,2005,19.299999
Guinea,2012,20.6
Guinea-Bissau,2000,20.200001
Guinea-Bissau,2006,21.700001
Guinea-Bissau,2010,21.700001
Guinea-Bissau,2014,24.1
Guyana,2000,20.200001
Guyana,2005,22.700001
Guyana,2006,22.5
Guyana,2009,21.5
Guyana,2014,19.200001
Haiti,1977,21.6
Haiti,1994,22.200001
Haiti,2000,22.200001
Haiti,2005,22.200001
Haiti,2012,23.700001
Haiti,2013,26.1
Haiti,2016,24.9
Honduras,1996,20.299999
Honduras,2001,20.4
Honduras,2005,21.299999
Honduras,2011,21.200001
Hong Kong,1971,23.799999
Hong Kong,1981,25.299999
Hong Kong,1986,26.6
Hong Kong,1991,27.700001
Hong Kong,1996,28.6
Hong Kong,2001,29.5
Hong Kong,2006,30.299999
Hong Kong,2011,30.299999
Hong Kong,2016,29.9
Hungary,1990,22
Hungary,1991,22.1
Hungary,1992,22.299999
Hungary,1993,22.5
Hungary,1994,22.799999
Hungary,1995,23.1
Hungary,1996,23.4
Hungary,1997,23.700001
Hungary,1998,24.1
Hungary,1999,24.4
Hungary,2000,24.799999
Hungary,2001,25.200001
Hungary,2002,25.700001
Hungary,2003,26
Hungary,2004,26.4
Hungary,2005,26.700001
Hungary,2006,27
Hungary,2007,27.200001
Hungary,2008,27.5
Hungary,2009,28
Hungary,2010,28.299999
Hungary,2011,28.6
Hungary,2013,29
Hungary,2014,29.299999
Hungary,2015,29.200001
Hungary,2016,29.200001
Hungary,2017,29.4
Iceland,1990,26.9
Iceland,1991,27.200001
Iceland,1992,27.9
Iceland,1993,28
Iceland,1994,28.799999
Iceland,1995,28.799999
Iceland,1996,29.200001
Iceland,1997,30.6
Iceland,1998,30.1
Iceland,1999,30.200001
Iceland,2000,30.6
Iceland,2001,30.200001
Iceland,2002,30.799999
Iceland,2003,31
Iceland,2004,31.4
Iceland,2005,31.5
Iceland,2006,31.799999
Iceland,2007,32.099998
Iceland,2008,32.400002
Iceland,2009,32.099998
Iceland,2010,32.400002
Iceland,2011,32.400002
India,1992,19.200001
India,1998,19.700001
India,2005,20.200001
India,2015,21.4
Indonesia,1976,19.4
Indonesia,1985,21.1
Indonesia,1987,21.700001
Indonesia,1991,21.5
Indonesia,1994,21.799999
Indonesia,1995,22.200001
Indonesia,1997,21.799999
Indonesia,2000,22.5
Indonesia,2002,22.1
Indonesia,2005,23.4
Indonesia,2007,22.299999
Indonesia,2012,21.799999
Indonesia,2017,22.4
Iran,1976,19.700001
Iran,1986,20.200001
Iran,1991,21.1
Iran,1996,22.1
Iran,2006,23.5
Iran,2011,23.5
Iran,2016,23.1
Iraq,2000,25.299999
Iraq,2004,25.299999
Iraq,2006,22.799999
Iraq,2011,22
Iraq,2012,22.700001
Ireland,1990,26.6
Ireland,1991,26.9
Ireland,1992,27.1
Ireland,1993,27.5
Ireland,1994,27.799999
Ireland,1995,28.1
Ireland,1996,28.5
Ireland,2005,30.5
Ireland,2006,30.700001
Ireland,2007,30.9
Ireland,2009,31.200001
Ireland,2010,31.299999
Ireland,2013,31.799999
Ireland,2014,30.700001
Ireland,2015,32
Isle of Man,1981,23.200001
Isle of Man,1991,26.4
Isle of Man,2001,29.299999
Isle of Man,2011,30.700001
Israel,2002,24.200001
Israel,2003,24.299999
Israel,2004,24.5
Israel,2005,24.6
Israel,2006,24.6
Israel,2007,24.799999
Israel,2008,24.700001
Israel,2009,24.799999
Israel,2010,24.799999
Israel,2011,25
Israel,2012,25
Israel,2013,25.1
Israel,2014,25
Israel,2015,25.200001
Israel,2016,24.5
Israel,2017,25.1
Italy,1990,25.9
Italy,1991,26
Italy,1992,26.200001
Italy,1993,26.4
Italy,1994,26.6
Italy,1995,26.9
Italy,1996,27.1
Italy,1997,27.299999
Italy,1998,27
Italy,1999,27.200001
Italy,2000,27.799999
Italy,2001,28.1
Italy,2002,28.4
Italy,2003,28.6
Italy,2004,28.799999
Italy,2005,29.1
Italy,2006,29.299999
Italy,2007,29.6
Italy,2008,29.799999
Italy,2009,30
Italy,2010,30.299999
Italy,2011,30.5
Italy,2013,31.1
Italy,2014,31.299999
Italy,2016,31.9
Italy,2017,32.200001
Jamaica,1970,21.1
Jamaica,1982,32.200001
Jamaica,1991,33.200001
Japan,1990,25.9
Japan,1991,25.9
Japan,1992,26
Japan,1993,26.1
Japan,1994,26.200001
Japan,1995,26.299999
Japan,1996,26.4
Japan,1997,26.6
Japan,1998,26.700001
Japan,1999,26.799999
Japan,2000,27
Japan,2001,27.200001
Japan,2002,27.4
Japan,2003,27.6
Japan,2004,27.799999
Japan,2005,28
Japan,2006,28.200001
Japan,2007,28.299999
Japan,2008,28.5
Japan,2009,28.6
Japan,2010,28.799999
Japan,2011,29
Japan,2012,29.200001
Japan,2013,29.299999
Japan,2014,29.4
Japan,2015,29.4
Japan,2016,29.4
Japan,2017,29.4
Jordan,1976,21.5
Jordan,1990,24.1
Jordan,1997,25.299999
Jordan,2002,25.9
Jordan,2007,25.799999
Jordan,2009,24.700001
Jordan,2012,25
Jordan,2017,24.6
Kazakhstan,1995,21.4
Kazakhstan,1999,21.6
Kazakhstan,2006,23.299999
Kazakhstan,2010,23.1
Kazakhstan,2015,22.4
Kenya,1977,20
Kenya,1984,18.299999
Kenya,1988,21.1
Kenya,1993,21.299999
Kenya,1998,21.700001
Kenya,2000,22.1
Kenya,2003,21.4
Kenya,2008,21.9
Kenya,2014,21.9
Kiribati,1973,20.9
Kiribati,1978,20.799999
Kiribati,1985,21.1
Kiribati,1990,21.5
Kiribati,1995,21.700001
Kiribati,2005,22.200001
Kiribati,2010,21.6
Korea,1990,24.799999
Korea,1991,24.799999
Korea,1992,24.9
Korea,1993,25
Korea,1994,25.1
Korea,1995,25.299999
Korea,1996,25.5
Korea,1997,25.700001
Korea,1998,26
Korea,1999,26.299999
Korea,2000,26.5
Korea,2001,26.799999
Korea,2002,27
Korea,2003,27.299999
Korea,2004,27.5
Korea,2005,27.700001
Korea,2006,27.799999
Korea,2007,28.1
Korea,2008,28.299999
Korea,2009,28.700001
Korea,2010,28.9
Korea,2011,29.1
Korea,2012,29.4
Korea,2013,29.6
Korea,2014,29.799999
Korea,2015,30
Korea,2016,30.1
Korea,2017,30.200001
Kosovo,2011,25.200001
Kuwait,1970,19.6
Kuwait,1975,20.5
Kuwait,1980,21.700001
Kuwait,1985,22.9
Kuwait,1995,27
Kuwait,2005,27.5
Kuwait,2011,25.700001
Kyrgyzstan,1997,20.299999
Kyrgyzstan,2005,22.5
Kyrgyzstan,2012,21.799999
Kyrgyzstan,2014,21.200001
Laos,2000,20.5
Laos,2005,20.5
Laos,2011,20.5
Laos,2017,20.700001
Latvia,2002,25
Latvia,2003,25.1
Latvia,2004,25.299999
Latvia,2005,25.799999
Latvia,2006,26.1
Latvia,2007,26.200001
Latvia,2008,26.5
Latvia,2009,26.9
Latvia,2010,27.1
Latvia,2011,27.299999
Latvia,2012,27.5
Latvia,2013,27.9
Latvia,2014,28.200001
Latvia,2015,28.5
Latvia,2016,28.799999
Latvia,2017,28.9
Lebanon,1997,27.9
